"","region","year","expenditure","exp_schooling","mean_schooling","life_exp_birth","hdi"
"3291","NUSA TENGGARA BARAT",2011,8759,11.97,6.07,64.13,62.14
"3292","NUSA TENGGARA BARAT",2012,8853,12.21,6.33,64.43,62.98
"3293","NUSA TENGGARA BARAT",2013,8950,12.46,6.54,64.74,63.76
"3294","NUSA TENGGARA BARAT",2014,8987,12.73,6.67,64.89,64.31
"3295","NUSA TENGGARA BARAT",2015,9241,13.04,6.71,65.38,65.19
"3296","NUSA TENGGARA BARAT",2016,9575,13.16,6.79,65.48,65.81
"3297","NUSA TENGGARA BARAT",2017,9877,13.46,6.9,65.55,66.58
"3298","NUSA TENGGARA BARAT",2018,10284,13.47,7.03,65.87,67.3
"3299","NUSA TENGGARA BARAT",2019,10640,13.48,7.27,66.28,68.14
"3300","NUSA TENGGARA BARAT",2020,10351,13.7,7.31,66.51,68.25
"3301","Lombok Barat",2010,10010,11.45,4.72,63.41,60.61
"3302","Lombok Barat",2011,10029,11.87,4.98,63.73,61.64
"3303","Lombok Barat",2012,10250,11.9,5.15,64.04,62.24
"3304","Lombok Barat",2013,10450,11.93,5.38,64.36,62.91
"3305","Lombok Barat",2014,10470,12.09,5.63,64.5,63.52
"3306","Lombok Barat",2015,10588,12.66,5.69,65.1,64.62
"3307","Lombok Barat",2016,10924,12.8,5.93,65.44,65.55
"3308","Lombok Barat",2017,11048,13.04,6.15,65.78,66.37
"3309","Lombok Barat",2018,11367,13.36,6.16,66.16,67.18
"3310","Lombok Barat",2019,11647,13.48,6.37,66.64,68.03
"3311","Lombok Barat",2020,11304,13.71,6.41,66.94,68.2
"3312","Lombok Tengah",2010,8464,11.54,4.55,63.42,58.97
"3313","Lombok Tengah",2011,8530,11.56,4.96,63.72,59.77
"3314","Lombok Tengah",2012,8567,11.82,5.2,64,60.57
"3315","Lombok Tengah",2013,8605,12.08,5.36,64.3,61.25
"3316","Lombok Tengah",2014,8652,12.36,5.52,64.45,61.88
"3317","Lombok Tengah",2015,8846,12.81,5.54,64.75,62.74
"3318","Lombok Tengah",2016,9079,12.83,5.6,65.01,63.22
"3319","Lombok Tengah",2017,9319,13.13,5.95,65.28,64.36
"3320","Lombok Tengah",2018,9796,13.47,5.96,65.59,65.36
"3321","Lombok Tengah",2019,10196,13.5,6.27,65.99,66.36
"3322","Lombok Tengah",2020,9952,13.67,6.28,66.21,66.43
"3323","Lombok Timur",2010,7575,11.82,5.14,63.03,58.86
"3324","Lombok Timur",2011,7580,12.04,5.61,63.32,59.84
"3325","Lombok Timur",2012,7652,12.47,5.78,63.61,60.73
"3326","Lombok Timur",2013,7685,12.77,5.94,63.9,61.43
"3327","Lombok Timur",2014,7750,13.1,6.06,64.04,62.07
"3328","Lombok Timur",2015,8100,13.12,6.15,64.44,62.83
"3329","Lombok Timur",2016,8449,13.3,6.26,64.73,63.7
"3330","Lombok Timur",2017,8805,13.35,6.32,65.01,64.37
"3331","Lombok Timur",2018,9268,13.5,6.45,65.33,65.35
"3332","Lombok Timur",2019,9639,13.51,6.69,65.74,66.23
"3333","Lombok Timur",2020,9409,13.69,6.7,65.97,66.3
"3334","Sumbawa",2010,7138,11.62,6.84,64.63,60.93
"3335","Sumbawa",2011,7177,11.67,7.1,64.96,61.5
"3336","Sumbawa",2012,7299,11.76,7.14,65.25,61.96
"3337","Sumbawa",2013,7422,11.86,7.19,65.58,62.44
"3338","Sumbawa",2014,7519,11.94,7.31,65.72,62.88
"3339","Sumbawa",2015,7743,12.27,7.52,66.02,63.91
"3340","Sumbawa",2016,8070,12.68,7.53,66.3,64.89
"3341","Sumbawa",2017,8584,12.85,7.54,66.58,65.84
"3342","Sumbawa",2018,9028,12.9,7.72,66.9,66.77
"3343","Sumbawa",2019,9336,12.97,7.91,67.31,67.6
"3344","Sumbawa",2020,9146,13.06,7.92,67.54,67.61
"3345","Dompu",2010,7102,12.26,7,64.03,61.44
"3346","Dompu",2011,7106,12.45,7.06,64.33,61.84
"3347","Dompu",2012,7169,12.64,7.35,64.62,62.6
"3348","Dompu",2013,7204,12.96,7.4,64.92,63.16
"3349","Dompu",2014,7239,13.16,7.45,65.06,63.53
"3350","Dompu",2015,7479,13.27,7.83,65.36,64.56
"3351","Dompu",2016,7819,13.28,8.1,65.62,65.48
"3352","Dompu",2017,8351,13.29,8.11,65.89,66.33
"3353","Dompu",2018,8743,13.3,8.12,66.2,66.97
"3354","Dompu",2019,9027,13.31,8.4,66.6,67.83
"3355","Dompu",2020,8889,13.32,8.44,66.82,67.84
"3356","Bima",2010,7144,11.72,6.55,63.53,60.19
"3357","Bima",2011,7157,11.77,6.74,63.82,60.62
"3358","Bima",2012,7171,11.81,6.93,64.1,61.05
"3359","Bima",2013,7184,12.45,7.12,64.42,62.08
"3360","Bima",2014,7198,12.7,7.29,64.56,62.61
"3361","Bima",2015,7371,13.11,7.36,64.86,63.48
"3362","Bima",2016,7585,13.25,7.45,65.13,64.15
"3363","Bima",2017,8006,13.26,7.58,65.4,65.01
"3364","Bima",2018,8354,13.27,7.59,65.71,65.62
"3365","Bima",2019,8631,13.28,7.77,66.11,66.37
"3366","Bima",2020,8468,13.29,7.78,66.33,66.3
"3367","Sumbawa Barat",2010,9677,13.06,6.75,64.8,65.42
"3368","Sumbawa Barat",2011,9744,13.12,6.94,65.1,65.94
"3369","Sumbawa Barat",2012,9815,13.18,7.14,65.39,66.45
"3370","Sumbawa Barat",2013,9886,13.2,7.28,65.69,66.86
"3371","Sumbawa Barat",2014,9922,13.21,7.44,65.85,67.19
"3372","Sumbawa Barat",2015,10234,13.57,7.68,66.35,68.38
"3373","Sumbawa Barat",2016,10528,13.58,8.05,66.66,69.26
"3374","Sumbawa Barat",2017,11066,13.59,8.18,66.98,70.08
"3375","Sumbawa Barat",2018,11496,13.6,8.24,67.34,70.71
"3376","Sumbawa Barat",2019,11766,13.61,8.53,67.8,71.52
"3377","Sumbawa Barat",2020,11536,13.62,8.66,68.07,71.63
"3378","Lombok Utara",2010,7083,10.66,4.23,64.13,56.13
"3379","Lombok Utara",2011,7169,11.05,4.43,64.45,57.13
"3380","Lombok Utara",2012,7304,11.46,4.63,64.74,58.19
"3381","Lombok Utara",2013,7358,11.87,4.89,65.04,59.2
"3382","Lombok Utara",2014,7594,12.31,4.97,65.19,60.17
"3383","Lombok Utara",2015,7940,12.34,5.22,65.59,61.15
"3384","Lombok Utara",2016,8155,12.68,5.47,65.88,62.24
"3385","Lombok Utara",2017,8637,12.69,5.54,66.17,63.04
"3386","Lombok Utara",2018,8888,12.7,5.81,66.5,63.83
"3387","Lombok Utara",2019,9279,12.71,5.84,66.92,64.49
"3388","Lombok Utara",2020,9006,12.72,5.91,67.17,64.42
"3389","Kota Mataram",2010,11800,14.31,8.15,69.16,72.47
"3390","Kota Mataram",2011,12053,14.61,8.47,69.45,73.5
"3391","Kota Mataram",2012,12380,14.77,8.61,69.73,74.22
"3392","Kota Mataram",2013,12748,14.82,9.04,70.03,75.22
"3393","Kota Mataram",2014,13021,15.27,9.04,70.18,75.93
"3394","Kota Mataram",2015,13399,15.28,9.05,70.43,76.37
"3395","Kota Mataram",2016,13733,15.5,9.25,70.7,77.2
"3396","Kota Mataram",2017,14316,15.51,9.32,70.98,77.84
"3397","Kota Mataram",2018,14797,15.52,9.43,71.24,78.43
"3398","Kota Mataram",2019,15426,15.58,9.45,71.59,79.1
"3399","Kota Mataram",2020,14968,15.59,9.46,71.76,78.91
"3400","Kota Bima",2010,8959,14.22,9.12,67.99,70.11
"3401","Kota Bima",2011,9038,14.44,9.14,68.29,70.57
"3402","Kota Bima",2012,9142,14.65,9.3,68.58,71.21
"3403","Kota Bima",2013,9270,14.7,9.46,68.88,71.72
"3404","Kota Bima",2014,9352,14.92,9.58,69.03,72.23
"3405","Kota Bima",2015,9594,14.95,9.96,69.12,72.99
"3406","Kota Bima",2016,9930,14.96,10.13,69.35,73.67
"3407","Kota Bima",2017,10458,14.97,10.14,69.58,74.36
"3408","Kota Bima",2018,10825,14.98,10.3,69.84,75.04
"3409","Kota Bima",2019,11334,14.99,10.38,70.2,75.8
"3410","Kota Bima",2020,11105,15,10.49,70.38,75.81
"3411","NUSA TENGGARA TIMUR",2010,6615,10.85,6.5,65.28,59.21
"3412","NUSA TENGGARA TIMUR",2011,6678,11.55,6.6,65.45,60.24
"3413","NUSA TENGGARA TIMUR",2012,6785,11.73,6.71,65.64,60.81
"3414","NUSA TENGGARA TIMUR",2013,6899,12.27,6.76,65.82,61.68
"3415","NUSA TENGGARA TIMUR",2014,6934,12.65,6.85,65.91,62.26
"3416","NUSA TENGGARA TIMUR",2015,7003,12.84,6.93,65.96,62.67
"3417","NUSA TENGGARA TIMUR",2016,7122,12.97,7.02,66.04,63.13
"3418","NUSA TENGGARA TIMUR",2017,7350,13.07,7.15,66.07,63.73
"3419","NUSA TENGGARA TIMUR",2018,7566,13.1,7.3,66.38,64.39
"3420","NUSA TENGGARA TIMUR",2019,7769,13.15,7.55,66.85,65.23
"3421","NUSA TENGGARA TIMUR",2020,7598,13.18,7.63,67.01,65.19
"3422","Sumba Barat",2010,6174,11.04,6.16,65.88,58.5
"3423","Sumba Barat",2011,6358,11.42,6.23,65.95,59.33
"3424","Sumba Barat",2012,6478,11.74,6.3,66,59.98
"3425","Sumba Barat",2013,6672,11.88,6.37,66.07,60.55
"3426","Sumba Barat",2014,6714,12.11,6.38,66.11,60.9
"3427","Sumba Barat",2015,6776,12.4,6.44,66.11,61.36
"3428","Sumba Barat",2016,6914,12.64,6.45,66.15,61.85
"3429","Sumba Barat",2017,6997,12.87,6.51,66.2,62.3
"3430","Sumba Barat",2018,7275,12.88,6.52,66.58,62.91
"3431","Sumba Barat",2019,7586,12.89,6.53,66.98,63.56
"3432","Sumba Barat",2020,7321,13.11,6.6,67.08,63.53
"3433","Sumba Timur",2010,8128,11.26,5.82,63.28,59.94
"3434","Sumba Timur",2011,8350,11.41,5.86,63.33,60.43
"3435","Sumba Timur",2012,8510,11.56,5.92,63.39,60.89
"3436","Sumba Timur",2013,8744,11.74,5.98,63.45,61.44
"3437","Sumba Timur",2014,8808,12.02,6.14,63.48,62.04
"3438","Sumba Timur",2015,8883,12.04,6.31,63.88,62.54
"3439","Sumba Timur",2016,9004,12.3,6.48,64,63.22
"3440","Sumba Timur",2017,9093,12.79,6.73,64.12,64.19
"3441","Sumba Timur",2018,9351,12.8,6.74,64.45,64.65
"3442","Sumba Timur",2019,9640,12.81,6.86,64.94,65.34
"3443","Sumba Timur",2020,9406,12.82,7.12,65.13,65.52
"3444","Kupang",2010,6426,12.22,6.12,62.41,58.57
"3445","Kupang",2011,6550,12.52,6.66,62.53,59.74
"3446","Kupang",2012,6675,12.83,6.68,62.68,60.34
"3447","Kupang",2013,6875,13.13,6.71,62.87,61.07
"3448","Kupang",2014,6945,13.45,6.84,62.97,61.68
"3449","Kupang",2015,7085,13.47,6.88,63.17,62.04
"3450","Kupang",2016,7217,13.48,6.93,63.33,62.39
"3451","Kupang",2017,7301,13.49,7.1,63.49,62.79
"3452","Kupang",2018,7472,13.83,7.11,63.86,63.55
"3453","Kupang",2019,7698,13.84,7.37,64.39,64.43
"3454","Kupang",2020,7526,13.85,7.38,64.63,64.32
"3455","Timor Tengah Selatan",2010,5676,10.45,5.39,65.3,55.72
"3456","Timor Tengah Selatan",2011,5760,11.14,5.53,65.33,56.82
"3457","Timor Tengah Selatan",2012,5846,11.79,5.73,65.37,57.94
"3458","Timor Tengah Selatan",2013,6005,12.03,5.94,65.42,58.76
"3459","Timor Tengah Selatan",2014,6061,12.51,5.98,65.45,59.41
"3460","Timor Tengah Selatan",2015,6118,12.52,6.26,65.55,59.9
"3461","Timor Tengah Selatan",2016,6360,12.53,6.27,65.6,60.37
"3462","Timor Tengah Selatan",2017,6676,12.54,6.39,65.65,61.08
"3463","Timor Tengah Selatan",2018,6855,12.55,6.47,65.91,61.58
"3464","Timor Tengah Selatan",2019,6955,12.56,6.72,66.32,62.23
"3465","Timor Tengah Selatan",2020,6861,12.57,6.73,66.42,62.15
"3466","Timor Tengah Utara",2010,5237,11.45,6.03,65.86,56.93
"3467","Timor Tengah Utara",2011,5385,12.03,6.06,65.87,57.87
"3468","Timor Tengah Utara",2012,5468,12.93,6.14,65.88,59.04
"3469","Timor Tengah Utara",2013,5626,13.03,6.22,65.89,59.56
"3470","Timor Tengah Utara",2014,5679,13.24,6.69,65.89,60.41
"3471","Timor Tengah Utara",2015,5799,13.26,6.87,66.09,60.96
"3472","Timor Tengah Utara",2016,5930,13.27,7.13,66.14,61.54
"3473","Timor Tengah Utara",2017,6164,13.28,7.14,66.19,62.03
"3474","Timor Tengah Utara",2018,6357,13.29,7.26,66.45,62.65
"3475","Timor Tengah Utara",2019,6479,13.3,7.51,66.86,63.34
"3476","Timor Tengah Utara",2020,6364,13.31,7.81,66.96,63.53
"3477","Belu",2010,6527,9.97,5.8,62,55.78
"3478","Belu",2011,6647,10.3,6.01,62.09,56.63
"3479","Belu",2012,6770,10.73,6.21,62.17,57.58
"3480","Belu",2013,6967,11.02,6.95,62.26,59.12
"3481","Belu",2014,7025,11.41,7.03,62.31,59.72
"3482","Belu",2015,7083,11.8,7.05,63.01,60.54
"3483","Belu",2016,7199,12.02,7.06,63.21,61.04
"3484","Belu",2017,7251,12.24,7.07,63.42,61.44
"3485","Belu",2018,7403,12.25,7.08,63.81,61.86
"3486","Belu",2019,7677,12.26,7.11,64.35,62.54
"3487","Belu",2020,7479,12.27,7.35,64.61,62.68
"3488","Alor",2010,5788,10.64,6.84,59.63,55.46
"3489","Alor",2011,5951,10.71,6.99,59.64,56.01
"3490","Alor",2012,6168,10.79,6.99,59.67,56.47
"3491","Alor",2013,6223,10.94,7.68,59.71,57.52
"3492","Alor",2014,6284,11.25,7.74,59.73,58
"3493","Alor",2015,6346,11.41,7.75,60.23,58.5
"3494","Alor",2016,6468,11.64,7.76,60.35,58.99
"3495","Alor",2017,6553,12.08,7.77,60.47,59.61
"3496","Alor",2018,6750,12.09,7.81,60.8,60.14
"3497","Alor",2019,6958,12.11,8.09,61.29,61.03
"3498","Alor",2020,6786,12.23,8.41,61.48,61.33
"3499","Lembata",2010,6370,10.17,6.36,65,57.78
"3500","Lembata",2011,6485,10.59,6.6,65.07,58.76
"3501","Lembata",2012,6602,10.89,6.75,65.2,59.51
"3502","Lembata",2013,6794,11.19,7.07,65.3,60.56
"3503","Lembata",2014,6857,11.5,7.44,65.35,61.45
"3504","Lembata",2015,6888,11.86,7.51,65.85,62.16
"3505","Lembata",2016,7010,12.23,7.52,66.02,62.81
"3506","Lembata",2017,7084,12.25,7.58,66.19,63.09
"3507","Lembata",2018,7253,12.26,7.95,66.57,63.96
"3508","Lembata",2019,7474,12.4,8.21,66.97,64.91
"3509","Lembata",2020,7305,12.42,8.22,67.07,64.74
"3510","Flores Timur",2010,6717,9.77,6.27,63.86,57.28
"3511","Flores Timur",2011,6802,10.36,6.34,63.88,58.15
"3512","Flores Timur",2012,6888,10.72,6.55,63.88,58.93
"3513","Flores Timur",2013,7048,11.09,6.74,63.88,59.8
"3514","Flores Timur",2014,7099,11.49,6.86,63.88,60.42
"3515","Flores Timur",2015,7150,11.9,6.98,64.28,61.24
"3516","Flores Timur",2016,7237,12.38,6.99,64.36,61.9
"3517","Flores Timur",2017,7442,12.88,7.12,64.45,62.89
"3518","Flores Timur",2018,7573,12.89,7.42,64.7,63.55
"3519","Flores Timur",2019,7770,12.9,7.7,65.1,64.34
"3520","Flores Timur",2020,7631,12.91,7.71,65.2,64.22
"3521","Sikka",2010,7028,10.76,5.87,65.58,59.04
"3522","Sikka",2011,7203,10.78,6.09,65.6,59.62
"3523","Sikka",2012,7314,10.81,6.32,65.64,60.12
"3524","Sikka",2013,7500,11.03,6.49,65.68,60.84
"3525","Sikka",2014,7559,11.38,6.53,65.7,61.36
"3526","Sikka",2015,7618,11.54,6.54,66.1,61.81
"3527","Sikka",2016,7740,11.91,6.55,66.2,62.42
"3528","Sikka",2017,7855,12.34,6.56,66.3,63.08
"3529","Sikka",2018,7958,12.7,6.69,66.61,63.89
"3530","Sikka",2019,8313,12.87,6.71,67.07,64.75
"3531","Sikka",2020,8081,13.16,6.94,67.24,65.11
"3532","Ende",2010,8068,11.82,6.67,64.08,61.92
"3533","Ende",2011,8227,12.09,6.96,64.13,62.78
"3534","Ende",2012,8322,13.05,7,64.18,63.93
"3535","Ende",2013,8491,13.49,7.03,64.24,64.64
"3536","Ende",2014,8551,13.71,7.3,64.27,65.25
"3537","Ende",2015,8679,13.73,7.37,64.37,65.54
"3538","Ende",2016,8801,13.74,7.38,64.42,65.74
"3539","Ende",2017,8841,13.75,7.63,64.48,66.11
"3540","Ende",2018,8995,13.76,7.79,64.75,66.62
"3541","Ende",2019,9315,13.77,7.8,65.17,67.2
"3542","Ende",2020,9094,13.78,7.81,65.29,67.04
"3543","Ngada",2010,7536,10.76,6.92,67.2,61.84
"3544","Ngada",2011,7613,11.33,7.1,67.23,62.8
"3545","Ngada",2012,7770,11.62,7.29,67.27,63.57
"3546","Ngada",2013,8002,11.92,7.47,67.3,64.43
"3547","Ngada",2014,8070,11.99,7.51,67.32,64.64
"3548","Ngada",2015,8085,12.32,7.6,67.32,65.1
"3549","Ngada",2016,8195,12.66,7.61,67.34,65.61
"3550","Ngada",2017,8649,12.67,7.85,67.36,66.47
"3551","Ngada",2018,8857,12.68,8.07,67.59,67.1
"3552","Ngada",2019,8961,12.69,8.37,67.96,67.76
"3553","Ngada",2020,8865,12.7,8.52,68.04,67.88
"3554","Manggarai",2010,6206,10.12,6.28,64.57,57.18
"3555","Manggarai",2011,6390,10.5,6.37,64.62,58.02
"3556","Manggarai",2012,6511,10.87,6.6,64.69,58.92
"3557","Manggarai",2013,6706,10.9,6.76,64.75,59.49
"3558","Manggarai",2014,6790,11.29,6.79,64.78,60.08
"3559","Manggarai",2015,6875,11.6,6.81,65.48,60.87
"3560","Manggarai",2016,7008,11.92,6.97,65.66,61.67
"3561","Manggarai",2017,7056,12.32,6.98,65.84,62.24
"3562","Manggarai",2018,7175,12.71,7.26,66.23,63.32
"3563","Manggarai",2019,7276,13.14,7.27,66.77,64.15
"3564","Manggarai",2020,7203,13.41,7.37,67.03,64.54
"3565","Rote Ndao",2010,5446,11.35,5.52,61.52,54.79
"3566","Rote Ndao",2011,5497,11.87,5.68,61.91,55.78
"3567","Rote Ndao",2012,5612,11.92,5.96,62.29,56.56
"3568","Rote Ndao",2013,5800,11.93,6.11,62.67,57.28
"3569","Rote Ndao",2014,5873,12.2,6.16,62.86,57.82
"3570","Rote Ndao",2015,5946,12.22,6.45,62.86,58.32
"3571","Rote Ndao",2016,6110,12.51,6.67,63.13,59.28
"3572","Rote Ndao",2017,6320,12.91,6.98,63.41,60.51
"3573","Rote Ndao",2018,6484,13.16,7.24,63.8,61.51
"3574","Rote Ndao",2019,6720,13.17,7.29,64.34,62.22
"3575","Rote Ndao",2020,6539,13.18,7.59,64.6,62.39
"3576","Manggarai Barat",2010,6441,9.25,6.34,65.53,57.08
"3577","Manggarai Barat",2011,6599,9.58,6.34,65.66,57.75
"3578","Manggarai Barat",2012,6694,9.73,6.35,65.79,58.13
"3579","Manggarai Barat",2013,6862,9.89,6.65,65.92,59.02
"3580","Manggarai Barat",2014,6937,10.15,6.8,65.98,59.64
"3581","Manggarai Barat",2015,7012,10.41,6.81,65.98,60.04
"3582","Manggarai Barat",2016,7149,10.67,6.82,66.19,60.63
"3583","Manggarai Barat",2017,7269,11.09,7.14,66.19,61.65
"3584","Manggarai Barat",2018,7426,11.55,7.18,66.58,62.58
"3585","Manggarai Barat",2019,7602,11.96,7.19,67.12,63.5
"3586","Manggarai Barat",2020,7468,12.28,7.3,67.38,63.89
"3587","Sumba Tengah",2010,5491,10.62,4.62,67.37,55.35
"3588","Sumba Tengah",2011,5554,10.88,4.93,67.45,56.21
"3589","Sumba Tengah",2012,5617,11.05,5,67.53,56.66
"3590","Sumba Tengah",2013,5755,11.23,5.07,67.61,57.25
"3591","Sumba Tengah",2014,5788,11.44,5.1,67.65,57.6
"3592","Sumba Tengah",2015,5821,11.65,5.12,67.65,57.91
"3593","Sumba Tengah",2016,5907,11.93,5.21,67.73,58.52
"3594","Sumba Tengah",2017,5946,12.31,5.51,67.74,59.39
"3595","Sumba Tengah",2018,6093,12.32,5.76,67.96,60.07
"3596","Sumba Tengah",2019,6198,12.66,5.96,68.32,61.01
"3597","Sumba Tengah",2020,6108,12.96,6.25,68.38,61.53
"3598","Sumba Barat Daya",2010,5538,10.66,5.42,66.88,56.37
"3599","Sumba Barat Daya",2011,5580,11.26,5.6,66.94,57.35
"3600","Sumba Barat Daya",2012,5667,11.68,5.78,66.98,58.22
"3601","Sumba Barat Daya",2013,5828,12.12,5.97,67.05,59.26
"3602","Sumba Barat Daya",2014,5880,12.59,6.01,67.08,59.9
"3603","Sumba Barat Daya",2015,5933,12.79,6.29,67.08,60.53
"3604","Sumba Barat Daya",2016,6079,13.02,6.3,67.71,61.31
"3605","Sumba Barat Daya",2017,6134,13.03,6.31,67.76,61.46
"3606","Sumba Barat Daya",2018,6298,13.04,6.32,68.02,61.89
"3607","Sumba Barat Daya",2019,6594,13.05,6.33,68.43,62.6
"3608","Sumba Barat Daya",2020,6372,13.06,6.34,68.53,62.28
"3609","Nagekeo",2010,7362,10.54,6.42,65.99,60.19
"3610","Nagekeo",2011,7536,11.02,6.51,66,61.05
"3611","Nagekeo",2012,7645,11.09,6.74,66.02,61.6
"3612","Nagekeo",2013,7830,11.17,6.98,66.04,62.24
"3613","Nagekeo",2014,7868,11.39,7.14,66.05,62.71
"3614","Nagekeo",2015,7906,11.61,7.33,66.25,63.33
"3615","Nagekeo",2016,8054,11.98,7.34,66.31,63.93
"3616","Nagekeo",2017,8119,12.45,7.52,66.36,64.74
"3617","Nagekeo",2018,8219,12.46,7.82,66.62,65.35
"3618","Nagekeo",2019,8469,12.47,7.83,67.03,65.88
"3619","Nagekeo",2020,8309,12.48,7.89,67.13,65.81
"3620","Manggarai Timur",2010,4767,9.58,5.91,67.19,54.26
"3621","Manggarai Timur",2011,4920,9.82,5.98,67.21,54.97
"3622","Manggarai Timur",2012,5008,9.86,6.01,67.24,55.28
"3623","Manggarai Timur",2013,5170,9.91,6.04,67.26,55.74
"3624","Manggarai Timur",2014,5208,10.15,6.42,67.27,56.58
"3625","Manggarai Timur",2015,5246,10.3,6.43,67.27,56.83
"3626","Manggarai Timur",2016,5396,10.58,6.44,67.39,57.5
"3627","Manggarai Timur",2017,5643,11.04,6.45,67.4,58.51
"3628","Manggarai Timur",2018,5809,11.34,6.65,67.62,59.49
"3629","Manggarai Timur",2019,5919,11.69,6.87,67.98,60.47
"3630","Manggarai Timur",2020,5818,11.99,7.08,68.04,60.85
"3631","Sabu Raijua",2010,NA,10.12,NA,56.85,NA
"3632","Sabu Raijua",2011,4485,10.74,4.7,57.19,49.16
"3633","Sabu Raijua",2012,4564,11.31,4.9,57.52,50.3
"3634","Sabu Raijua",2013,4717,11.67,5.24,57.83,51.55
"3635","Sabu Raijua",2014,4748,12.18,5.54,57.98,52.51
"3636","Sabu Raijua",2015,4781,12.71,5.56,58.38,53.28
"3637","Sabu Raijua",2016,4923,13,5.68,58.69,54.16
"3638","Sabu Raijua",2017,5120,13.11,6.02,59,55.22
"3639","Sabu Raijua",2018,5245,13.12,6.06,59.53,55.79
"3640","Sabu Raijua",2019,5354,13.13,6.33,60.23,56.66
"3641","Sabu Raijua",2020,5265,13.14,6.65,60.64,57.02
"3642","Malaka",2010,NA,NA,NA,63.89,NA
"3643","Malaka",2011,NA,NA,NA,63.97,NA
"3644","Malaka",2012,NA,NA,NA,64.03,NA
"3645","Malaka",2013,5495,11.34,5.64,64.11,56.14
"3646","Malaka",2014,5512,11.56,6.07,64.15,56.94
"3647","Malaka",2015,5563,12.01,6.08,64.15,57.51
"3648","Malaka",2016,5658,12.28,6.31,64.27,58.29
"3649","Malaka",2017,5726,12.75,6.32,64.29,58.9
"3650","Malaka",2018,5894,12.76,6.6,64.52,59.66
"3651","Malaka",2019,5998,12.77,6.86,64.89,60.34
"3652","Malaka",2020,5901,12.78,6.87,64.97,60.21
"3653","Kota Kupang",2010,12208,14.29,10.5,67.78,74.81
"3654","Kota Kupang",2011,12339,14.64,10.9,67.9,75.74
"3655","Kota Kupang",2012,12470,14.99,11.06,67.99,76.38
"3656","Kota Kupang",2013,12676,15.35,11.35,68.09,77.24
"3657","Kota Kupang",2014,12766,15.55,11.41,68.14,77.58
"3658","Kota Kupang",2015,12856,15.75,11.43,68.34,77.95
"3659","Kota Kupang",2016,12986,15.76,11.44,68.46,78.14
"3660","Kota Kupang",2017,13028,15.77,11.45,68.58,78.25
"3661","Kota Kupang",2018,13199,16.08,11.46,68.9,78.84
"3662","Kota Kupang",2019,13592,16.24,11.47,69.37,79.55
"3663","Kota Kupang",2020,13337,16.4,11.58,69.55,79.71
"3664","KALIMANTAN BARAT",2010,7654,10.79,6.27,69.06,61.97
"3665","KALIMANTAN BARAT",2011,7825,10.8,6.32,69.26,62.35
"3666","KALIMANTAN BARAT",2012,8002,11.11,6.62,69.46,63.41
"3667","KALIMANTAN BARAT",2013,8127,11.6,6.69,69.66,64.3
"3668","KALIMANTAN BARAT",2014,8175,11.89,6.83,69.76,64.89
"3669","KALIMANTAN BARAT",2015,8279,12.25,6.93,69.87,65.59
"3670","KALIMANTAN BARAT",2016,8348,12.37,6.98,69.9,65.88
"3671","KALIMANTAN BARAT",2017,8472,12.5,7.05,69.92,66.26
"3672","KALIMANTAN BARAT",2018,8860,12.55,7.12,70.18,66.98
"3673","KALIMANTAN BARAT",2019,9055,12.58,7.31,70.56,67.65
"3674","KALIMANTAN BARAT",2020,8930,12.6,7.37,70.69,67.66
"3675","Sambas",2010,7858,10.69,5.11,67.4,59.81
"3676","Sambas",2011,8242,10.77,5.23,67.5,60.57
"3677","Sambas",2012,8673,10.99,5.35,67.58,61.53
"3678","Sambas",2013,9083,11.22,5.48,67.69,62.47
"3679","Sambas",2014,9153,11.46,5.8,67.74,63.28
"3680","Sambas",2015,9195,11.7,6.13,67.94,64.14
"3681","Sambas",2016,9311,11.92,6.42,68.05,64.94
"3682","Sambas",2017,9403,12.38,6.67,68.17,65.92
"3683","Sambas",2018,9774,12.52,6.68,68.5,66.61
"3684","Sambas",2019,9924,12.6,6.7,68.83,67.02
"3685","Sambas",2020,9858,12.61,6.71,68.93,67.03
"3686","Bengkayang",2010,7351,10.8,5.82,72.88,62.5
"3687","Bengkayang",2011,7634,10.82,5.84,72.89,62.94
"3688","Bengkayang",2012,7956,10.84,5.86,72.89,63.42
"3689","Bengkayang",2013,8249,10.89,5.96,72.89,63.99
"3690","Bengkayang",2014,8363,11.11,5.97,72.89,64.4
"3691","Bengkayang",2015,8489,11.14,5.98,72.99,64.65
"3692","Bengkayang",2016,8588,11.6,6.08,73.01,65.45
"3693","Bengkayang",2017,8640,12,6.09,73.04,65.99
"3694","Bengkayang",2018,9072,12.01,6.27,73.28,66.85
"3695","Bengkayang",2019,9182,12.08,6.53,73.67,67.57
"3696","Bengkayang",2020,9102,12.09,6.76,73.83,67.87
"3697","Landak",2010,5936,10.98,6.09,71.94,60.36
"3698","Landak",2011,6053,11.21,6.72,71.95,61.67
"3699","Landak",2012,6201,11.46,6.85,71.97,62.38
"3700","Landak",2013,6272,11.5,6.99,71.97,62.72
"3701","Landak",2014,6417,12,7.05,71.97,63.59
"3702","Landak",2015,6670,12.03,7.06,72.07,64.12
"3703","Landak",2016,6737,12.35,7.07,72.1,64.58
"3704","Landak",2017,6931,12.36,7.08,72.12,64.93
"3705","Landak",2018,7183,12.37,7.09,72.34,65.45
