cr_id,cr_name,province_id,province_name,city
0919,Kota Tasikmalaya,09,Jawa Barat,TRUE
0920,Kuningan,09,Jawa Barat,FALSE
0921,Majalengka,09,Jawa Barat,FALSE
0922,Pangandaran,09,Jawa Barat,FALSE
0923,Purwakarta,09,Jawa Barat,FALSE
0924,Subang,09,Jawa Barat,FALSE
0925,Sukabumi,09,Jawa Barat,FALSE
0926,Sumedang,09,Jawa Barat,FALSE
0927,Tasikmalaya,09,Jawa Barat,FALSE
1001,Banjarnegara,10,Jawa Tengah,FALSE
1002,Banyumas,10,Jawa Tengah,FALSE
1003,Batang,10,Jawa Tengah,FALSE
1004,Blora,10,Jawa Tengah,FALSE
1005,Boyolali,10,Jawa Tengah,FALSE
1006,Brebes,10,Jawa Tengah,FALSE
1007,Cilacap,10,Jawa Tengah,FALSE
1008,Demak,10,Jawa Tengah,FALSE
1009,Grobogan,10,Jawa Tengah,FALSE
1010,Jepara,10,Jawa Tengah,FALSE
1011,Karanganyar,10,Jawa Tengah,FALSE
1012,Kebumen,10,Jawa Tengah,FALSE
1013,Kendal,10,Jawa Tengah,FALSE
1014,Klaten,10,Jawa Tengah,FALSE
1015,Kota Magelang,10,Jawa Tengah,TRUE
1016,Kota Pekalongan,10,Jawa Tengah,TRUE
1017,Kota Salatiga,10,Jawa Tengah,TRUE
1018,Kota Semarang,10,Jawa Tengah,TRUE
1019,Kota Surakarta,10,Jawa Tengah,TRUE
1020,Kota Tegal,10,Jawa Tengah,TRUE
1021,Kudus,10,Jawa Tengah,FALSE
1022,Magelang,10,Jawa Tengah,FALSE
1023,Pati,10,Jawa Tengah,FALSE
1024,Pekalongan,10,Jawa Tengah,FALSE
